 ,Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
1,ID26631,26631,3,715.842,124.233,11.353,0,0,0,7.500,1,-10921639,51471.258,61961,22242,65535,25169445,16724.297,10.556,0.279,1.343
2,ID26634,26634,7,109.607,708.855,14.190,0,0,0,7.500,1,-10921639,18304.683,22441,0,65535,8950990,11512.231,6.261,0.170,0.462
3,ID26636,26636,11,663.897,438.704,16.236,0,0,0,7.500,1,-10921639,65389.613,65535,40115,65535,31975521,1598.245,16.816,0.259,16.816
4,ID26637,26637,13,667.722,109.032,18.242,0,0,0,7.500,1,-10921639,47247.605,52627,21845,65535,23104079,18627.385,10.324,0.247,1.006
5,ID26657,26657,24,853.161,160.339,28.847,0,0,0,7.500,1,-10921639,64619.274,65535,31179,65535,31598825,3316.254,16.640,0.375,10.633
6,ID26796,26796,34,810.182,231.847,93.724,0,0,0,7.500,1,-10921639,65090.714,65535,33165,65535,31829359,3135.293,17.764,0.345,10.647
7,ID26811,26811,45,754.692,329.144,102.819,0,0,0,7.500,1,-10921639,65154.476,65535,40513,65535,31860539,2427.231,16.883,0.316,12.889
8,ID26830,26830,14,748.705,263.393,109.363,0,0,0,7.500,1,-10921639,65535.000,65535,65535,65535,32046615,0.000,18.025,0.309,Infinity
9,ID26839,26839,17,721.553,297.839,114.910,0,0,0,7.500,1,-10921639,63481.693,65535,28398,65535,31042548,7026.514,14.051,0.288,4.036
10,ID26840,26840,19,828.787,615.544,117.225,0,0,0,7.500,1,-10921639,63552.362,65535,28597,65535,31077105,6914.681,15.988,0.364,4.903
11,ID26843,26843,21,732.678,300.686,120.018,0,0,0,7.500,1,-10921639,64068.127,65535,32370,65535,31329314,5534.971,15.014,0.297,5.295
12,ID26857,26857,30,736.900,519.061,127.800,0,0,0,7.500,1,-10921639,63378.143,65535,28398,65535,30991912,7386.117,15.643,0.307,4.035
13,ID26877,26877,46,789.933,619.188,140.889,0,0,0,7.500,1,-10921639,63982.851,65535,30186,65535,31287614,5697.938,15.526,0.346,5.767
14,ID26879,26879,47,769.239,539.812,141.452,0,0,0,7.500,1,-10921639,64316.260,65535,30384,65535,31450651,5341.231,16.337,0.326,5.925
15,ID26896,26896,15,597.087,590.766,150.407,0,0,0,7.500,1,-10921639,49013.613,52230,23235,65535,23967657,11885.537,10.717,0.228,1.531
16,ID26910,26910,22,661.927,606.225,158.246,0,0,0,7.500,1,-10921639,53408.217,56202,23434,65535,26116618,10508.210,10.954,0.271,2.166
17,ID26952,26952,4,832.151,158.388,179.183,0,0,0,7.500,1,-10921639,63589.313,65535,29590,65535,31095174,6703.535,15.220,0.365,5.068
18,ID26976,26976,23,421.541,231.488,190.277,0,0,0,7.500,1,-10921639,38826.814,40711,23036,50641,18986312,7568.658,10.908,0.222,1.861
19,ID26985,26985,31,777.490,179.772,194.481,0,0,0,7.500,1,-10921639,64679.319,65535,28001,65535,31628187,4625.759,17.550,0.328,6.910
20,ID26995,26995,39,396.820,210.799,199.296,0,0,0,7.500,1,-10921639,37736.002,39123,23632,51435,18452905,7016.207,10.767,0.202,1.806
21,ID27048,27048,28,145.785,502.878,223.844,0,0,0,7.500,1,-10921639,28251.020,28398,23036,33165,13814749,2217.220,13.317,0.090,2.114
22,ID27082,27082,8,140.365,488.947,240.627,0,0,0,7.500,1,-10921639,28115.804,28398,23235,32569,13748628,2222.756,13.653,0.086,2.004
23,ID27126,27126,41,664.788,656.999,255.998,0,0,0,7.500,1,-10921639,63461.789,65535,27008,65535,31032815,7326.029,13.969,0.261,3.591
24,ID27145,27145,6,662.281,674.428,264.512,0,0,0,7.500,1,-10921639,62825.806,65535,25618,65535,30721819,8927.327,18.214,0.256,2.866
25,ID27173,27173,26,704.312,236.934,282.275,0,0,0,7.500,1,-10921639,54565.397,65535,23434,65535,26682479,16698.007,10.596,0.265,1.370
26,ID27174,27174,27,819.246,339.160,282.303,0,0,0,7.500,1,-10921639,63443.930,65535,27604,65535,31024082,7263.409,17.309,0.356,4.583
27,ID27184,27184,37,815.314,314.622,290.207,0,0,0,7.500,1,-10921639,65081.376,65535,39123,65535,31824793,2977.799,16.787,0.355,11.449
28,ID27201,27201,1,805.701,48.345,298.729,0,0,0,7.500,1,-10921639,64945.327,65535,30583,65535,31758265,3887.405,16.750,0.346,8.597
29,ID27202,27202,2,807.370,226.906,298.697,0,0,0,7.500,1,-10921639,54884.219,65535,23235,65535,26838383,15774.409,10.941,0.331,1.731
30,ID27208,27208,5,806.458,77.753,301.699,0,0,0,7.500,1,-10921639,64864.918,65535,32569,65535,31718945,3999.855,17.205,0.345,8.327
31,ID27223,27223,18,175.338,143.387,311.684,0,0,0,7.500,1,-10921639,27797.342,28200,21646,33959,13592900,2600.117,10.832,0.111,2.141
32,ID27241,27241,32,100.583,582.519,321.384,0,0,0,7.500,1,-10921639,25365.583,25618,22441,30583,12403770,2059.292,10.421,0.054,1.251
33,ID27245,27245,35,103.756,118.588,322.462,0,0,0,7.500,1,-10921639,24938.319,25022,21646,29590,12194838,1691.520,13.178,0.062,1.711
34,ID27249,27249,38,844.208,12.197,324.729,0,0,0,7.500,1,-10921639,57133.687,65535,22043,65535,27938373,14887.805,11.009,0.366,2.055
35,ID27251,27251,40,112.943,564.682,327.075,0,0,0,7.500,1,-10921639,25359.910,25221,22242,30583,12400996,2526.014,10.442,0.056,1.067
36,ID27258,27258,44,846.984,34.119,333.149,0,0,0,7.500,1,-10921639,61368.685,65535,23235,65535,30009287,10401.657,13.540,0.368,3.174
37,ID27275,27275,9,756.448,76.086,339.973,0,0,0,7.500,1,-10921639,65386.364,65535,42300,65535,31973932,1560.647,16.853,0.314,20.027
38,ID27298,27298,25,769.099,626.773,356.105,0,0,0,7.500,1,-10921639,61968.104,65535,23036,65535,30302403,9849.639,13.534,0.317,3.025
39,ID27305,27305,33,747.995,599.962,358.580,0,0,0,7.500,1,-10921639,65304.742,65535,43889,65535,31934019,1889.116,17.134,0.312,16.460
40,ID27318,27318,42,781.216,107.022,366.366,0,0,0,7.500,1,-10921639,65437.127,65535,45676,65535,31998755,1282.923,18.074,0.331,25.350
41,ID27321,27321,43,214.735,0.000,368.295,0,0,0,7.500,1,-10921639,20478.620,25420,0,35945,10014045,12177.215,10.564,0.251,0.675
42,ID27328,27328,0,285.863,30.197,373.112,0,0,0,7.500,1,-10921639,30905.832,31775,19462,38527,15112952,4417.235,11.067,0.184,2.179
43,ID27354,27354,20,840.634,125.491,385.918,0,0,0,7.500,1,-10921639,65396.515,65535,44087,65535,31978896,1650.681,17.321,0.368,21.307
44,ID27408,27408,16,709.868,246.289,411.811,0,0,0,7.500,1,-10921639,65243.413,65535,40513,65535,31904029,2275.886,20.591,0.291,12.910
45,ID27467,27467,10,271.109,179.157,436.769,0,0,0,7.500,1,-10921639,29546.556,30782,20852,38130,14448266,5032.050,10.571,0.160,1.617
46,ID27468,27468,12,717.811,250.682,437.654,0,0,0,7.500,1,-10921639,64121.317,65535,27008,65535,31355324,6363.894,15.948,0.290,4.525
47,ID26601,26601,29,837.007,161.250,0.000,0,0,0,7.500,1,-10921639,46742.063,65535,0,65535,22856869,26966.428,16.617,0.456,1.086
48,ID26607,26607,36,676.576,414.090,0.000,0,0,0,7.500,1,-10921639,33435.564,27594,0,65535,16349991,24370.023,10.190,0.394,0.776
49,ID29324,29324,29,727.877,160.605,0.000,0,1,1,7.500,1,-10921639,47017.814,65535,0,65535,22991711,27080.704,17.232,0.393,0.979
50,ID29332,29332,36,582.724,414.090,0.000,0,1,1,7.500,1,-10921639,35874.106,32966,0,65535,17542438,24098.324,10.205,0.325,0.730
51,ID29353,29353,3,658.692,124.531,13.212,0,1,1,7.500,1,-10921639,57336.789,65535,27207,65535,28037690,12814.555,10.862,0.242,1.745
52,ID29356,29356,7,88.970,708.855,14.190,0,1,1,7.500,1,-10921639,22853.086,29590,0,56202,11175159,13539.423,28.500,0.142,0.419
53,ID29359,29359,11,560.075,440.158,16.712,0,1,1,7.500,1,-10921639,65182.094,65535,39917,65535,31874044,2624.862,28.500,0.206,8.494
54,ID29361,29361,13,568.378,108.582,17.273,0,1,1,7.500,1,-10921639,49911.708,57790,26412,65535,24406825,16522.778,10.232,0.178,0.914
55,ID29385,29385,24,743.357,160.710,30.138,0,1,1,7.500,1,-10921639,65282.816,65535,36342,65535,31923297,2072.569,17.206,0.308,14.839
56,ID29520,29520,34,692.620,231.662,95.218,0,1,1,7.500,1,-10921639,65372.556,65535,47861,65535,31967180,1481.706,17.992,0.277,19.152
57,ID29531,29531,45,639.883,329.545,101.936,0,1,1,7.500,1,-10921639,65271.440,65535,49251,65535,31917734,1720.694,16.977,0.252,15.269
58,ID29536,29536,48,639.496,329.545,101.936,0,1,1,7.500,1,-10921639,65271.440,65535,49251,65535,31917734,1720.694,16.977,0.252,15.269
59,ID29548,29548,14,716.719,259.599,111.709,0,1,1,7.500,1,-10921639,58772.415,65535,32370,65535,28739711,10904.861,10.880,0.280,2.359
60,ID29550,29550,17,613.804,299.383,113.795,0,1,1,7.500,1,-10921639,63867.507,65535,33165,65535,31231211,5795.746,14.185,0.229,4.106
61,ID29556,29556,19,686.749,615.147,117.532,0,1,1,7.500,1,-10921639,64308.544,65535,35945,65535,31446878,4808.903,15.767,0.281,5.868
62,ID29559,29559,21,621.614,301.328,120.300,0,1,1,7.500,1,-10921639,63960.505,65535,31775,65535,31276687,5693.358,14.526,0.233,4.241
63,ID29575,29575,30,620.235,518.955,127.726,0,1,1,7.500,1,-10921639,64068.127,65535,33760,65535,31329314,5592.557,16.465,0.241,4.456
64,ID29601,29601,47,653.920,540.181,141.172,0,1,1,7.500,1,-10921639,64487.642,65535,35349,65535,31534457,4670.586,17.112,0.259,5.684
65,ID29602,29602,46,635.951,619.744,141.487,0,1,1,7.500,1,-10921639,64208.249,65535,34555,65535,31397834,5019.217,15.848,0.252,5.155
66,ID29622,29622,15,550.273,592.153,150.629,0,1,1,7.500,1,-10921639,55407.110,59180,29590,65535,27094077,10536.763,10.799,0.184,1.637
67,ID29632,29632,22,622.207,606.550,160.714,0,1,1,7.500,1,-10921639,59547.403,64741,29789,65535,29118680,9280.859,13.086,0.233,2.424
68,ID29672,29672,4,719.601,156.442,177.915,0,1,1,7.500,1,-10921639,65425.761,65535,50244,65535,31993197,1025.782,16.413,0.297,29.211
69,ID29696,29696,23,446.221,231.160,191.283,0,1,1,7.500,1,-10921639,44999.507,46470,28200,57393,22004759,7553.286,10.803,0.197,1.960
70,ID29710,29710,31,679.961,179.890,194.416,0,1,1,7.500,1,-10921639,64949.793,65535,38328,65535,31760449,3512.854,17.583,0.273,7.932
71,ID29719,29719,39,395.740,210.678,198.780,0,1,1,7.500,1,-10921639,43529.742,44485,28398,55209,21286044,6117.370,10.922,0.180,2.175
72,ID29773,29773,28,157.502,503.726,224.371,0,1,1,7.500,1,-10921639,34411.916,34555,28994,39718,16827427,2214.566,13.188,0.078,2.246
73,ID29802,29802,8,158.120,489.693,242.309,0,1,1,7.500,1,-10921639,34173.104,34753,28796,39321,16710648,2549.632,10.796,0.075,1.877
74,ID29838,29838,41,559.068,658.026,255.388,0,1,1,7.500,1,-10921639,62834.757,65535,30782,65535,30726196,8032.330,13.539,0.202,2.634
75,ID29859,29859,6,559.959,673.208,266.764,0,1,1,7.500,1,-10921639,62687.317,65535,29193,65535,30654098,8498.166,18.928,0.201,2.473
76,ID29888,29888,26,652.161,239.746,281.787,0,1,1,7.500,1,-10921639,56063.174,65535,27803,65535,27414892,14720.185,10.701,0.232,1.434
77,ID29892,29892,27,704.290,339.719,282.786,0,1,1,7.500,1,-10921639,63676.225,65535,30583,65535,31137674,6443.295,17.535,0.285,4.384
78,ID29907,29907,37,701.960,315.503,291.265,0,1,1,7.500,1,-10921639,65249.912,65535,32768,65535,31907207,2474.631,16.824,0.288,11.788
79,ID29918,29918,1,762.655,49.738,298.061,0,1,1,7.500,1,-10921639,63806.988,65535,25420,65535,31201617,6769.529,16.121,0.318,4.548
80,ID29924,29924,2,765.561,227.843,299.139,0,1,1,7.500,1,-10921639,58463.734,65535,27604,65535,28588766,12498.512,13.174,0.312,2.225
81,ID29928,29928,5,735.127,76.331,300.901,0,1,1,7.500,1,-10921639,65132.949,65535,40115,65535,31850012,2603.148,16.916,0.308,11.776
82,ID29947,29947,18,203.180,144.990,313.551,0,1,1,7.500,1,-10921639,32399.978,32768,25221,38328,15843589,3115.835,11.174,0.110,2.059
83,ID29955,29955,32,88.439,582.518,320.202,0,1,1,7.500,1,-10921639,30396.235,30384,27803,34158,14863759,1856.816,10.306,0.036,1.123
84,ID29961,29961,38,770.437,13.355,323.205,0,1,1,7.500,1,-10921639,57985.714,65535,24625,65535,28355014,13915.363,10.986,0.314,1.992
85,ID29966,29966,35,115.100,116.649,323.474,0,1,1,7.500,1,-10921639,28651.063,28597,25221,33363,14010370,1973.068,10.626,0.057,1.568
86,ID29972,29972,40,104.645,565.677,327.668,0,1,1,7.500,1,-10921639,30696.744,30782,27604,35746,15010708,2341.330,10.052,0.043,1.077
87,ID29979,29979,44,781.828,36.345,332.497,0,1,1,7.500,1,-10921639,62279.190,65535,26412,65535,30454524,8932.164,13.704,0.325,3.420
88,ID29992,29992,9,716.344,75.967,340.459,0,1,1,7.500,1,-10921639,65314.890,65535,40711,65535,31938981,1983.832,17.176,0.293,14.907
89,ID30025,30025,25,629.135,626.498,356.548,0,1,1,7.500,1,-10921639,61141.669,65535,28398,65535,29898276,10023.114,12.977,0.229,2.275
90,ID30027,30027,33,625.731,601.256,357.860,0,1,1,7.500,1,-10921639,64564.793,65535,34356,65535,31572184,4620.129,16.125,0.244,5.479
91,ID30039,30039,42,711.921,107.290,367.335,0,1,1,7.500,1,-10921639,65459.464,65535,45676,65535,32009678,1049.413,18.482,0.290,28.036
92,ID30045,30045,43,225.461,0.000,370.230,0,1,1,7.500,1,-10921639,21563.663,24625,0,38130,10544631,12995.178,10.398,0.236,0.635
93,ID30053,30053,0,294.101,31.231,372.971,0,1,1,7.500,1,-10921639,33694.689,34555,22242,43889,16476703,4824.958,11.126,0.169,2.016
94,ID30085,30085,20,784.082,125.215,387.433,0,1,1,7.500,1,-10921639,65325.857,65535,47861,65535,31944344,1652.177,17.054,0.334,19.785
95,ID30141,30141,16,608.232,246.704,411.821,0,1,1,7.500,1,-10921639,64634.241,65535,35746,65535,31606144,4354.998,21.082,0.233,5.618
96,ID30182,30182,10,325.266,180.328,437.671,0,1,1,7.500,1,-10921639,34251.902,35349,24228,45478,16749180,6142.041,10.613,0.163,1.561
97,ID30185,30185,12,637.855,250.127,438.558,0,1,1,7.500,1,-10921639,64563.986,65535,31973,65535,31571789,4759.177,28.500,0.249,5.408
98,ID27505,27505,29,693.736,159.960,0.000,0,2,2,7.500,1,-10921639,47014.346,65535,0,65535,22990015,27080.908,17.719,0.375,0.947
99,ID27526,27526,36,496.726,419.456,8.021,0,2,2,7.500,1,-10921639,58446.712,65535,31377,65535,28580442,11013.379,11.030,0.244,2.085
100,ID27533,27533,11,519.990,437.436,10.558,0,2,2,7.500,1,-10921639,55052.830,63550,30980,65535,26920834,12124.401,28.500,0.184,1.413
101,ID27536,27536,3,607.494,124.734,12.905,0,2,2,7.500,1,-10921639,55367.141,65535,27604,65535,27074532,14096.809,10.626,0.208,1.354
102,ID27540,27540,7,95.810,708.855,14.835,0,2,2,7.500,1,-10921639,23121.221,29987,0,60372,11306277,13855.038,6.194,0.144,0.420
103,ID27541,27541,13,556.266,109.138,16.273,0,2,2,7.500,1,-10921639,51711.650,64145,26810,65535,25286997,16070.696,10.148,0.179,0.976
104,ID27569,27569,24,733.425,161.352,30.898,0,2,2,7.500,1,-10921639,65265.765,65535,40314,65535,31914959,2051.323,16.930,0.303,14.792
105,ID27705,27705,34,687.268,231.687,95.067,0,2,2,7.500,1,-10921639,65390.423,65535,42300,65535,31975917,1533.090,18.140,0.274,18.369
106,ID27707,27707,14,753.393,273.778,97.331,0,2,2,7.500,1,-10921639,55951.906,65535,29987,65535,27360482,13577.126,11.003,0.293,1.866
107,ID27715,27715,48,624.862,329.233,99.584,0,2,2,7.500,1,-10921639,65020.873,65535,44882,65535,31795207,2740.564,16.515,0.242,9.258
108,ID27719,27719,45,623.967,330.240,101.265,0,2,2,7.500,1,-10921639,65145.949,65535,45080,65535,31856369,2261.445,16.982,0.243,11.278
